playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,adapt_score
smithpa02,2,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0
smithpa03,223,117.0,223,130,0,0,78,0,0,0,34,2,20,52,0.0,98.0,1.0,1.2153
smithpe01,7,2.0,7,7,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithpe02,234,163.0,207,231,231,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0
smithph01,148,,148,148,140,0,0,0,0,0,11,0,0,11,,,,0.23729999999999984
smithpo01,1112,,1112,1112,3,1,0,713,52,336,2,6,6,14,,,,1.0198
smithpo02,26,5.0,26,26,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithra01,83,67.0,83,83,0,83,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithre01,2,,2,2,2,0,0,0,0,0,0,0,0,0,,,,0.0
smithre02,1117,1087.0,1117,1096,0,0,0,0,1049,0,17,31,3,49,0.0,22.0,0.0,0.15510000000000002
smithre03,26,11.0,26,16,0,16,0,0,0,0,0,0,0,0,0.0,10.0,0.0,0.0
smithre04,21,1.0,21,19,0,0,0,0,2,17,0,0,0,0,0.0,2.0,1.0,0.3368000000000002
smithre05,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithre06,1987,1853.0,1987,1864,0,0,186,6,15,0,4,808,879,1671,8.0,119.0,4.0,1.2739
smithro01,136,93.0,1,136,136,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithro02,15,0.0,0,15,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithro03,13,1.0,0,13,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithru01,1,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithse01,1138,825.0,1138,812,0,0,0,0,0,0,499,9,349,812,144.0,273.0,3.0,1.003
smithsh01,381,226.0,381,376,373,0,0,0,0,0,1,1,1,3,0.0,5.0,0.0,0.026899999999999924
smithsk01,58,,58,58,0,0,58,0,0,0,0,0,0,0,,,,0.0
smithst01,3,,3,3,0,0,0,0,0,3,0,0,0,0,,,,0.0
smithst02,21,9.0,21,14,0,0,0,0,0,0,14,0,0,14,0.0,8.0,1.0,0.0
smithsy01,146,47.0,146,135,0,115,7,0,1,0,0,1,0,1,0.0,10.0,0.0,0.24009999999999998
smithto01,3,,3,3,0,0,0,3,0,0,0,0,0,0,,,,0.0
smithto02,29,,29,29,25,0,4,0,0,0,0,0,0,0,,,,0.4325000000000001
smithto03,170,13.0,170,170,0,0,0,3,6,162,0,0,0,0,0.0,0.0,0.0,0.1755
smithto04,121,64.0,121,97,0,0,0,0,0,0,24,16,59,97,7.0,17.0,16.0,1.175
smithtr01,42,15.0,40,42,42,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithvi01,16,16.0,16,16,0,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithwa01,203,126.0,203,151,0,0,13,20,63,56,1,0,1,2,0.0,51.0,0.0,1.533
smithwi01,17,,17,17,0,13,1,0,0,0,0,0,0,0,,,,0.23289999999999988
smithwi02,691,365.0,691,450,29,0,93,0,0,0,287,3,55,338,0.0,274.0,12.0,1.1888
smithwi03,8,0.0,8,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithwi04,242,17.0,195,242,242,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithza01,386,291.0,362,360,360,0,0,0,0,0,0,0,0,0,0.0,8.0,18.0,0.0
smoakju01,824,685.0,824,758,0,0,758,0,0,0,0,0,0,0,26.0,56.0,1.0,0.0
smokejo01,20,0.0,20,20,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smolija01,199,150.0,199,180,0,0,0,0,0,0,82,49,54,180,6.0,25.0,5.0,1.4389
smollle01,33,9.0,33,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
